,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
9,0,3,1,5,1,1,True,10,False,True,18.256244659423828,2.0965080293734033
3,0,1,3,5,1,1,True,10,False,True,18.280288696289062,2.0981946594884633
1,0,1,1,5,3,1,True,10,False,True,18.33409309387207,2.1019550663249587
17,0,3,5,5,5,1,True,10,False,True,18.448192596435547,2.118580182927965
26,0,5,5,5,5,1,True,10,False,True,18.487995147705078,2.1252788907594056
23,0,5,3,5,5,1,True,10,False,True,18.608360290527344,2.130509119678509
25,0,5,5,5,3,1,True,10,False,True,18.567134857177734,2.136936547140047
0,0,1,1,5,1,1,True,10,False,True,27.442468643188477,3.3826468242929404
19,0,5,1,5,3,1,True,10,False,True,33.003990173339844,3.9078347936670053
5,0,1,3,5,5,1,True,10,False,True,34.27684020996094,4.2631635625340785
4,0,1,3,5,3,1,True,10,False,True,36.9098014831543,4.3425315389536605
21,0,5,3,5,1,1,True,10,False,True,35.78567123413086,4.436346338343776
7,0,1,5,5,3,1,True,10,False,True,37.95793151855469,4.4800511652908375
11,0,3,1,5,5,1,True,10,False,True,37.45120620727539,4.514630877912218
2,0,1,1,5,5,1,True,10,False,True,37.74371337890625,4.561689099481751
13,0,3,3,5,3,1,True,10,False,True,37.3683967590332,4.624689891768321
15,0,3,5,5,1,1,True,10,False,True,39.363563537597656,4.658450737124606
6,0,1,5,5,1,1,True,10,False,True,39.36246871948242,4.733951563375343
12,0,3,3,5,1,1,True,10,False,True,39.60090637207031,4.750850115368159
10,0,3,1,5,3,1,True,10,False,True,39.304405212402344,4.852121513613713
18,0,5,1,5,1,1,True,10,False,True,41.13541030883789,4.897016513368256
20,0,5,1,5,5,1,True,10,False,True,53.80738067626953,6.89443344343946
8,0,1,5,5,5,1,True,10,False,True,58.120704650878906,6.925246016268834
14,0,3,3,5,5,1,True,10,False,True,55.408843994140625,6.957899076940606
16,0,3,5,5,3,1,True,10,False,True,58.0638542175293,7.095160845496381
24,0,5,5,5,1,1,True,10,False,True,58.180030822753906,7.101659973123725
22,0,5,3,5,3,1,True,10,False,True,56.719818115234375,7.123353978019025
