,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
6,7,True,True,57.91927719116211,3.071620355930962
8,9,True,True,59.52365493774414,3.1321450376246993
3,4,True,True,57.56201934814453,3.1663913091766465
1,2,True,True,60.5958137512207,3.321452049319977
9,10,True,True,66.68541717529297,3.469606020786516
2,3,True,True,62.66207504272461,3.4704540527290875
7,8,True,True,75.76615905761719,4.378813407922124
4,5,True,True,81.22166442871094,4.821739543085615
11,12,True,True,86.9079818725586,5.042418177292987
14,15,True,True,93.17830657958984,5.331991044438634
13,14,True,True,100.63250732421875,5.794677384597544
12,13,True,True,106.1292495727539,6.1802158266943
0,1,True,True,114.60176086425781,7.097914930176175
5,6,True,True,122.64693450927734,7.383450886891637
10,11,True,True,143.21798706054688,8.330825786940913
