,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
25,10,10,7,True,5,False,False,44.19618225097656,2.264400065191904
23,10,5,7,True,10,False,False,45.63808822631836,2.350533671211837
17,5,10,7,True,10,False,False,46.21028137207031,2.372577165213147
0,0,0,7,True,0,False,False,46.331504821777344,2.4169034695390614
16,5,10,7,True,5,False,False,48.52320098876953,2.6095694376009746
8,0,10,7,True,10,False,False,49.98674774169922,2.6487545268295674
14,5,5,7,True,10,False,False,50.11088943481445,2.666269341071851
3,0,5,7,True,0,False,False,49.95991516113281,2.673429230809635
1,0,0,7,True,5,False,False,49.9808349609375,2.6768653675667538
9,5,0,7,True,0,False,False,50.18439483642578,2.7006527754871734
10,5,0,7,True,5,False,False,69.85123443603516,3.681469881829455
12,5,5,7,True,0,False,False,70.48057556152344,3.8008579744072164
4,0,5,7,True,5,False,False,76.58441925048828,3.9438359798572105
2,0,0,7,True,10,False,False,76.35719299316406,3.9454730578357764
18,10,0,7,True,0,False,False,74.0780258178711,4.023412960874522
6,0,10,7,True,0,False,False,77.66224670410156,4.211363238078745
5,0,5,7,True,10,False,False,88.02388000488281,4.409071263215709
15,5,10,7,True,0,False,False,82.38372802734375,4.498369506898165
11,5,0,7,True,10,False,False,87.43993377685547,4.500770306040749
19,10,0,7,True,5,False,False,90.46197509765625,4.581316378039235
7,0,10,7,True,5,False,False,90.1777572631836,4.718525846271293
21,10,5,7,True,0,False,False,88.36731719970703,4.79694013088825
13,5,5,7,True,5,False,False,97.4366455078125,4.96164184247319
20,10,0,7,True,10,False,False,102.80549621582031,5.3448859006211
24,10,10,7,True,0,False,False,100.1392593383789,5.363713220968412
22,10,5,7,True,5,False,False,115.58870697021484,5.694168828918474
26,10,10,7,True,10,False,False,150.1961212158203,7.314662766502266
