,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,10,1,1,10,1,7,True,5,False,False,45.03590393066406,2.3805594920181092
26,10,5,5,10,5,7,True,5,False,False,67.0423812866211,3.535710818634673
6,10,1,5,10,1,7,True,5,False,False,127.48729705810547,6.211054477842697
17,10,3,5,10,5,7,True,5,False,False,123.74608612060547,6.362733957465186
4,10,1,3,10,3,7,True,5,False,False,131.27622985839844,6.4463224475257555
10,10,3,1,10,3,7,True,5,False,False,131.6241912841797,6.551445348484237
12,10,3,3,10,1,7,True,5,False,False,130.5513153076172,6.6540876971060605
18,10,5,1,10,1,7,True,5,False,False,132.93917846679688,6.666497249937198
2,10,1,1,10,5,7,True,5,False,False,139.77874755859375,6.911817120500988
22,10,5,3,10,3,7,True,5,False,False,135.4981231689453,6.937400080695349
20,10,5,1,10,5,7,True,5,False,False,140.9978485107422,6.944146748012887
25,10,5,5,10,3,7,True,5,False,False,131.24859619140625,6.968001936945918
23,10,5,3,10,5,7,True,5,False,False,136.9031524658203,7.206115073347914
24,10,5,5,10,1,7,True,5,False,False,143.28121948242188,7.281195934916465
16,10,3,5,10,3,7,True,5,False,False,142.56478881835938,7.2989532695636825
14,10,3,3,10,5,7,True,5,False,False,143.06515502929688,7.527933431954106
8,10,1,5,10,5,7,True,5,False,False,145.86279296875,7.625655832882984
1,10,1,1,10,3,7,True,5,False,False,166.3339385986328,8.066303194769771
9,10,3,1,10,1,7,True,5,False,False,176.8856658935547,8.475086804693401
5,10,1,3,10,5,7,True,5,False,False,189.84024047851562,8.64954552605736
13,10,3,3,10,3,7,True,5,False,False,187.55035400390625,8.670430124862277
15,10,3,5,10,1,7,True,5,False,False,182.1124267578125,8.839518913096619
7,10,1,5,10,3,7,True,5,False,False,188.1232147216797,8.903548904436551
21,10,5,3,10,1,7,True,5,False,False,191.0819854736328,8.987127973640476
11,10,3,1,10,5,7,True,5,False,False,188.55113220214844,9.248654858341498
3,10,1,3,10,1,7,True,5,False,False,192.2847442626953,9.418234380050077
19,10,5,1,10,3,7,True,5,False,False,201.61827087402344,10.04213536584221
