,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,1,True,True,7.119889736175537,2.4164796379259963
3,4,True,True,7.0257768630981445,2.4760875041207338
12,13,True,True,7.187033176422119,2.490110636397506
2,3,True,True,7.370996475219727,2.5114464200198925
8,9,True,True,7.26045036315918,2.5454430579932223
6,7,True,True,7.249293804168701,2.5470344923075476
4,5,True,True,7.299773216247559,2.568163085724854
7,8,True,True,7.202719211578369,2.6753849558307863
11,12,True,True,7.534504413604736,2.6883388266391703
5,6,True,True,8.02595043182373,2.8262534719199954
1,2,True,True,8.257590293884277,2.8455350469669627
14,15,True,True,8.110635757446289,2.938847414189847
9,10,True,True,9.04558277130127,3.2446393785684675
10,11,True,True,9.509746551513672,3.4741820741265297
13,14,True,True,9.430383682250977,3.4833379007908434
