,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
7,0,10,1,True,5,True,False,6.803684234619141,2.2969159503950025
17,5,10,1,True,10,True,False,6.8630146980285645,2.310645848396328
25,10,10,1,True,5,True,False,6.97307825088501,2.3124267679529282
4,0,5,1,True,5,True,False,6.842331409454346,2.3203188512068715
5,0,5,1,True,10,True,False,6.919209957122803,2.323698533029965
23,10,5,1,True,10,True,False,7.035980701446533,2.3307553272846353
6,0,10,1,True,0,True,False,6.894315242767334,2.3375883538963906
0,0,0,1,True,0,True,False,6.752885341644287,2.3406848025424365
12,5,5,1,True,0,True,False,6.8291497230529785,2.3413924252361418
15,5,10,1,True,0,True,False,6.816936016082764,2.3445011746914672
26,10,10,1,True,10,True,False,6.941189765930176,2.3503852063929873
3,0,5,1,True,0,True,False,6.941287994384766,2.359236617989835
13,5,5,1,True,5,True,False,6.888998985290527,2.3615041594081445
10,5,0,1,True,5,True,False,6.743593692779541,2.366342875031612
11,5,0,1,True,10,True,False,6.818112850189209,2.382286318541348
1,0,0,1,True,5,True,False,6.804171562194824,2.3832003117733014
2,0,0,1,True,10,True,False,6.882702827453613,2.3896616890625313
22,10,5,1,True,5,True,False,6.89455509185791,2.393434484932754
8,0,10,1,True,10,True,False,6.8730645179748535,2.399406401750558
14,5,5,1,True,10,True,False,6.962104797363281,2.4089390844024945
16,5,10,1,True,5,True,False,6.874921798706055,2.4151452212294733
21,10,5,1,True,0,True,False,6.980788707733154,2.415339017016927
24,10,10,1,True,0,True,False,6.916670799255371,2.42264799611312
9,5,0,1,True,0,True,False,7.1370697021484375,2.429290937816973
19,10,0,1,True,5,True,False,6.871433734893799,2.434414840980252
20,10,0,1,True,10,True,False,6.954153060913086,2.446851809849073
18,10,0,1,True,0,True,False,7.275845050811768,2.6638895667916422
