,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,1,True,True,96.04149627685547,2.615509603292455
12,13,True,True,103.23638916015625,2.9392895947137383
7,8,True,True,105.9317855834961,3.0369640408949357
4,5,True,True,104.08019256591797,3.0372601294004347
3,4,True,True,104.87077331542969,3.0680322645578055
2,3,True,True,107.9842758178711,3.099113520633009
8,9,True,True,108.03726196289062,3.1491713450132046
6,7,True,True,109.13278198242188,3.2094105400526853
11,12,True,True,109.75340270996094,3.211340469359467
14,15,True,True,118.45355224609375,3.324906309331103
5,6,True,True,118.23484802246094,3.365428091783068
1,2,True,True,119.77035522460938,3.3742318882826283
9,10,True,True,130.82359313964844,3.8664452722797114
10,11,True,True,138.57296752929688,3.8710834576972415
13,14,True,True,131.3940887451172,3.910611301294763
