,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
1,0,0,1,False,5,True,True,96.5792465209961,2.588769666242981
7,0,10,1,False,5,True,True,97.37010192871094,2.592914724786867
0,0,0,1,False,0,True,True,96.04149627685547,2.615509603292455
3,0,5,1,False,0,True,True,96.71171569824219,2.626372970320017
5,0,5,1,False,10,True,True,97.9278793334961,2.627083633729487
4,0,5,1,False,5,True,True,96.626708984375,2.6280601943969852
6,0,10,1,False,0,True,True,97.87638854980469,2.6310907164302053
2,0,0,1,False,10,True,True,99.35355377197266,2.634690293283584
8,0,10,1,False,10,True,True,98.72852325439453,2.6403433296400074
24,10,10,1,False,0,True,True,99.87945556640625,2.71308587170034
9,5,0,1,False,0,True,True,98.22827911376953,2.7223772564738873
20,10,0,1,False,10,True,True,99.01033020019531,2.754772501836434
22,10,5,1,False,5,True,True,102.14655303955078,2.788730853482198
16,5,10,1,False,5,True,True,101.82688903808594,2.7956164159185257
18,10,0,1,False,0,True,True,102.96778869628906,2.838497493349349
14,5,5,1,False,10,True,True,102.274658203125,2.865427559472285
17,5,10,1,False,10,True,True,106.07671356201172,2.8747938097098906
19,10,0,1,False,5,True,True,103.36428833007812,2.9500108207364604
25,10,10,1,False,5,True,True,109.55047607421875,3.0164224379663738
15,5,10,1,False,0,True,True,107.2111587524414,3.028508132871571
11,5,0,1,False,10,True,True,105.87228393554688,3.0333763862304877
13,5,5,1,False,5,True,True,107.4166030883789,3.03344028127128
21,10,5,1,False,0,True,True,106.69281768798828,3.035340622984807
23,10,5,1,False,10,True,True,109.95906829833984,3.0551429433727653
26,10,10,1,False,10,True,True,116.35665893554688,3.2500355530930203
10,5,0,1,False,5,True,True,114.10600280761719,3.358464344610717
12,5,5,1,False,0,True,True,116.3232650756836,3.395339357183009
