,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
16,0,3,5,0,3,1,False,5,True,True,96.76243591308594,2.579292870256221
14,0,3,3,0,5,1,False,5,True,True,97.15481567382812,2.5906818452513116
22,0,5,3,0,3,1,False,5,True,True,96.6067886352539,2.5914787837353925
13,0,3,3,0,3,1,False,5,True,True,96.6781997680664,2.595178546100115
4,0,1,3,0,3,1,False,5,True,True,97.40795135498047,2.5994244319058315
10,0,3,1,0,3,1,False,5,True,True,97.20793914794922,2.6014341188041867
12,0,3,3,0,1,1,False,5,True,True,97.11177062988281,2.602560750687714
15,0,3,5,0,1,1,False,5,True,True,97.14054107666016,2.6034258364355543
6,0,1,5,0,1,1,False,5,True,True,98.44629669189453,2.6048534902455107
21,0,5,3,0,1,1,False,5,True,True,96.94073486328125,2.608144347709806
7,0,1,5,0,3,1,False,5,True,True,97.1062240600586,2.6082882351820222
20,0,5,1,0,5,1,False,5,True,True,97.38699340820312,2.609390962659113
24,0,5,5,0,1,1,False,5,True,True,97.45327758789062,2.6125041035202083
5,0,1,3,0,5,1,False,5,True,True,97.42643737792969,2.6145810781387504
3,0,1,3,0,1,1,False,5,True,True,97.57318878173828,2.614938199786001
8,0,1,5,0,5,1,False,5,True,True,97.9368896484375,2.617543519956474
18,0,5,1,0,1,1,False,5,True,True,97.32503509521484,2.620536190289502
11,0,3,1,0,5,1,False,5,True,True,97.14323425292969,2.6222114846150983
1,0,1,1,0,3,1,False,5,True,True,97.46434020996094,2.6233116576382223
9,0,3,1,0,1,1,False,5,True,True,97.4549331665039,2.6239245410201595
2,0,1,1,0,5,1,False,5,True,True,97.99552154541016,2.624950441079215
19,0,5,1,0,3,1,False,5,True,True,97.06471252441406,2.629567603815014
26,0,5,5,0,5,1,False,5,True,True,97.77539825439453,2.643913586155607
23,0,5,3,0,5,1,False,5,True,True,96.51624298095703,2.646982881366471
17,0,3,5,0,5,1,False,5,True,True,96.91958618164062,2.6555494970490368
25,0,5,5,0,3,1,False,5,True,True,96.78289794921875,2.659898536713495
0,0,1,1,0,1,1,False,5,True,True,97.65103912353516,2.712325643793011
