,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
4,1,False,True,True,96.04149627685547,2.615509603292455
7,1,False,False,False,97.35242462158203,2.640429266228569
0,1,True,True,True,96.02365112304688,2.6583802783990733
2,1,True,False,True,96.97882843017578,2.7032480061425637
3,1,True,False,False,97.67916107177734,2.7573056727071092
1,1,True,True,False,97.73980712890625,2.7613489366175266
26,5,True,False,True,97.97054290771484,2.78692139699766
29,5,False,True,False,100.14350128173828,2.841983766222259
27,5,True,False,False,100.80218505859375,2.9040459001442644
12,13,False,True,True,103.23638916015625,2.9392895947137383
20,8,False,True,True,105.9317855834961,3.0369640408949357
28,5,False,True,True,104.08019256591797,3.0372601294004347
21,8,False,True,False,110.41502380371094,3.085729112205461
14,13,False,False,True,109.1187744140625,3.2170950588300196
25,5,True,True,False,110.86994934082031,3.2202903518388677
10,13,True,False,True,112.7861328125,3.341704513715888
19,8,True,False,False,116.35428619384766,3.3426023878911666
17,8,True,True,False,119.86358642578125,3.367739414781164
16,8,True,True,True,116.62152099609375,3.3781328564019955
31,5,False,False,False,120.59756469726562,3.466680531881019
23,8,False,False,False,118.71170806884766,3.472536388519614
18,8,True,False,True,123.66041564941406,3.5838970087512454
30,5,False,False,True,127.62063598632812,3.6357784828645094
13,13,False,True,False,136.1446533203125,3.73909580981431
22,8,False,False,True,143.6205596923828,4.103728469116001
24,5,True,True,True,139.55458068847656,4.112584758655002
8,13,True,True,True,147.04054260253906,4.123471199822479
15,13,False,False,False,144.06007385253906,4.136946044871216
5,1,False,True,False,152.38552856445312,4.375164541847932
9,13,True,True,False,161.96054077148438,4.652346013272405
6,1,False,False,True,193.27908325195312,5.870763024016665
11,13,True,False,False,254.5210418701172,7.663540531381266
