,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,1,1,0,1,1,False,0,False,False,2.8630809783935547,2.0318343169529607
6,0,1,5,0,1,1,False,0,False,False,2.849395751953125,2.0323746189434506
12,0,3,3,0,1,1,False,0,False,False,3.034850597381592,2.1655903313214613
8,0,1,5,0,5,1,False,0,False,False,2.9895899295806885,2.166995212305041
24,0,5,5,0,1,1,False,0,False,False,3.0681073665618896,2.2223436708184794
22,0,5,3,0,3,1,False,0,False,False,3.1951382160186768,2.2942965759975493
14,0,3,3,0,5,1,False,0,False,False,3.1029326915740967,2.3018985724068313
16,0,3,5,0,3,1,False,0,False,False,3.2253952026367188,2.3733912358457747
18,0,5,1,0,1,1,False,0,False,False,3.485292434692383,2.528956881237322
10,0,3,1,0,3,1,False,0,False,False,3.8359644412994385,2.560973298110022
4,0,1,3,0,3,1,False,0,False,False,3.786224365234375,2.583405952545899
20,0,5,1,0,5,1,False,0,False,False,4.066001892089844,2.7578251192495484
9,0,3,1,0,1,1,False,0,False,False,4.169388294219971,2.9773062131317505
2,0,1,1,0,5,1,False,0,False,False,4.6282854080200195,3.023327807106421
21,0,5,3,0,1,1,False,0,False,False,5.347823143005371,3.533333702745441
1,0,1,1,0,3,1,False,0,False,False,5.294683933258057,3.6683810591438792
3,0,1,3,0,1,1,False,0,False,False,5.162063121795654,3.796111058064229
15,0,3,5,0,1,1,False,0,False,False,5.955769062042236,3.845587510226626
26,0,5,5,0,5,1,False,0,False,False,5.199313640594482,3.8564126587826575
19,0,5,1,0,3,1,False,0,False,False,5.864763259887695,4.033563027656653
7,0,1,5,0,3,1,False,0,False,False,6.128732681274414,4.072935654594291
13,0,3,3,0,3,1,False,0,False,False,6.546499729156494,4.168278953798099
5,0,1,3,0,5,1,False,0,False,False,6.697475910186768,4.3359309083225765
11,0,3,1,0,5,1,False,0,False,False,7.710931301116943,5.2913168583984636
23,0,5,3,0,5,1,False,0,False,False,7.5659942626953125,5.50189922152833
25,0,5,5,0,3,1,False,0,False,False,7.661761283874512,5.554869860450203
17,0,3,5,0,5,1,False,0,False,False,8.10836124420166,5.599036780438909
