,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
7,1,False,False,False,2.303508758544922,1.5667383935374029
3,1,True,False,False,2.301197052001953,1.587433119308252
11,7,True,False,False,2.385706663131714,1.5941626884847337
1,1,True,True,False,2.298415184020996,1.5944291638485981
2,1,True,False,True,2.2614312171936035,1.610722868131612
0,1,True,True,True,2.2751967906951904,1.6194839392837477
4,1,False,True,True,2.315656900405884,1.6316480198985275
25,4,True,True,False,2.3439621925354004,1.645372649059424
12,7,False,True,True,2.429260015487671,1.704992409851839
20,13,False,True,True,2.4998788833618164,1.7416019882227443
28,4,False,True,True,2.413773775100708,1.7741101426905568
22,13,False,False,True,2.5346322059631348,1.8281036167638436
24,4,True,True,True,2.706573963165283,1.8847237612374108
18,13,True,False,True,2.6755189895629883,1.9619846032141188
5,1,False,True,False,2.855670928955078,1.9898676572666634
13,7,False,True,False,2.9770967960357666,2.0919186017916185
9,7,True,True,False,3.1055753231048584,2.2013674596920314
14,7,False,False,True,3.0863966941833496,2.2949770997780785
21,13,False,True,False,3.278205394744873,2.341701188018344
31,4,False,False,False,3.267270088195801,2.3717602907914563
16,13,True,True,True,3.426917791366577,2.4146242900696993
29,4,False,True,False,3.4611785411834717,2.4744373808563704
23,13,False,False,False,3.3702850341796875,2.476725417950568
17,13,True,True,False,3.616431713104248,2.6879156814567002
27,4,True,False,False,3.745187282562256,2.7814752880587252
30,4,False,False,True,4.310945987701416,3.266481458010427
26,4,True,False,True,4.311952590942383,3.2918096652545725
6,1,False,False,True,4.413910388946533,3.4889380549148674
10,7,True,False,True,4.786830425262451,3.494420501268262
15,7,False,False,False,5.526126384735107,4.030955280297041
8,7,True,True,True,6.080826759338379,4.660012279520025
19,13,True,False,False,6.579879283905029,4.798810054447805
