,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,0,0,1,False,0,False,False,2.303508758544922,1.5667383935374029
1,0,0,1,False,5,False,False,3.6529617309570312,2.610029099613579
2,0,0,1,False,10,False,False,3.7550768852233887,2.6493978431421117
9,5,0,1,False,0,False,False,7.431179523468018,5.183246926794068
10,5,0,1,False,5,False,False,7.200211048126221,5.235088007357317
18,10,0,1,False,0,False,False,7.827131748199463,5.5407917390041055
11,5,0,1,False,10,False,False,8.55681324005127,5.852822042781856
20,10,0,1,False,10,False,False,8.604612350463867,5.927330438299648
19,10,0,1,False,5,False,False,9.098795890808105,6.246597632398899
23,10,5,1,False,10,False,False,9.713804244995117,7.01427325176461
13,5,5,1,False,5,False,False,9.973653793334961,7.11521072949873
24,10,10,1,False,0,False,False,10.306222915649414,7.119502138988763
21,10,5,1,False,0,False,False,10.327580451965332,7.248689935039063
15,5,10,1,False,0,False,False,10.58089828491211,7.38132539866758
12,5,5,1,False,0,False,False,9.613537788391113,7.397914365108014
17,5,10,1,False,10,False,False,10.585127830505371,7.704485358022489
6,0,10,1,False,0,False,False,9.777824401855469,7.76294171481203
22,10,5,1,False,5,False,False,11.087708473205566,7.784618740793691
3,0,5,1,False,0,False,False,10.110854148864746,8.081918136523305
25,10,10,1,False,5,False,False,11.17940616607666,8.131074981269657
14,5,5,1,False,10,False,False,11.319903373718262,8.175844186147838
4,0,5,1,False,5,False,False,10.25596809387207,8.187568110595365
16,5,10,1,False,5,False,False,11.911581039428711,8.625491386722961
26,10,10,1,False,10,False,False,12.69697093963623,9.283301404554614
5,0,5,1,False,10,False,False,13.127669334411621,10.182409403386982
8,0,10,1,False,10,False,False,13.538341522216797,10.653836808917875
7,0,10,1,False,5,False,False,13.82497787475586,11.10076037215121
