,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
17,0,1,5,0,1,1,5,0,0,0,5,False,0,False,False,2.2098827362060547,1.485627411698498
0,0,1,5,0,1,1,0,0,0,0,0,False,0,False,False,2.2292709350585938,1.5100519925242621
5,0,1,5,0,1,1,0,0,5,0,5,False,0,False,False,2.2839512825012207,1.5547694883383423
24,0,1,5,0,1,1,5,5,0,0,0,False,0,False,False,2.280796527862549,1.5881702828474724
6,0,1,5,0,1,1,0,0,5,5,0,False,0,False,False,2.3165929317474365,1.5882135987445436
9,0,1,5,0,1,1,0,5,0,0,5,False,0,False,False,2.318751335144043,1.6228477738817828
20,0,1,5,0,1,1,5,0,5,0,0,False,0,False,False,2.3401927947998047,1.6451231720244275
12,0,1,5,0,1,1,0,5,5,0,0,False,0,False,False,2.440167188644409,1.723361971848501
3,0,1,5,0,1,1,0,0,0,5,5,False,0,False,False,2.4934186935424805,1.7937586262060834
18,0,1,5,0,1,1,5,0,0,5,0,False,0,False,False,2.5716137886047363,1.8582988867825851
10,0,1,5,0,1,1,0,5,0,5,0,False,0,False,False,2.8291478157043457,2.0624815590365038
4,0,1,5,0,1,1,0,0,5,0,0,False,0,False,False,7.8921332359313965,5.7323471245465525
1,0,1,5,0,1,1,0,0,0,0,5,False,0,False,False,7.83197546005249,6.250384830017877
2,0,1,5,0,1,1,0,0,0,5,0,False,0,False,False,9.220839500427246,7.0951397798854385
16,0,1,5,0,1,1,5,0,0,0,0,False,0,False,False,9.671487808227539,7.461279850137145
8,0,1,5,0,1,1,0,5,0,0,0,False,0,False,False,10.061400413513184,7.760478499379894
28,0,1,5,0,1,1,5,5,5,0,0,False,0,False,False,12.394391059875488,9.432819946296705
25,0,1,5,0,1,1,5,5,0,0,5,False,0,False,False,14.763917922973633,11.39453225292758
21,0,1,5,0,1,1,5,0,5,0,5,False,0,False,False,15.191020011901855,11.47220119730217
13,0,1,5,0,1,1,0,5,5,0,5,False,0,False,False,15.069761276245117,11.493175016787378
7,0,1,5,0,1,1,0,0,5,5,5,False,0,False,False,15.804039001464844,12.508035521953948
29,0,1,5,0,1,1,5,5,5,0,5,False,0,False,False,22.151514053344727,17.407299497469115
11,0,1,5,0,1,1,0,5,0,5,5,False,0,False,False,27.675586700439453,22.150792637641363
26,0,1,5,0,1,1,5,5,0,5,0,False,0,False,False,27.896228790283203,22.344875676362523
22,0,1,5,0,1,1,5,0,5,5,0,False,0,False,False,33.34149169921875,27.230733988678978
15,0,1,5,0,1,1,0,5,5,5,5,False,0,False,False,33.35196304321289,27.323078340969737
19,0,1,5,0,1,1,5,0,0,5,5,False,0,False,False,33.73963165283203,27.32881128873343
14,0,1,5,0,1,1,0,5,5,5,0,False,0,False,False,34.398582458496094,28.350287919358113
27,0,1,5,0,1,1,5,5,0,5,5,False,0,False,False,36.142723083496094,29.064063918751753
30,0,1,5,0,1,1,5,5,5,5,0,False,0,False,False,40.493125915527344,33.273706797171585
23,0,1,5,0,1,1,5,0,5,5,5,False,0,False,False,44.66724395751953,37.31442997017564
31,0,1,5,0,1,1,5,5,5,5,5,False,0,False,False,50.441246032714844,41.76287155382356
