,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
0,1,True,True,2.802325963973999,2.0363279502064215
12,13,True,True,3.0518975257873535,2.145644017427207
8,9,True,True,3.17230224609375,2.201545604910716
2,3,True,True,3.15458083152771,2.233854279322794
4,5,True,True,3.0438477993011475,2.2353639541058037
3,4,True,True,2.9183340072631836,2.237065412989781
6,7,True,True,3.092353343963623,2.2502694038722026
11,12,True,True,3.129223108291626,2.266328042247638
7,8,True,True,3.080937147140503,2.287153212044422
14,15,True,True,3.4632248878479004,2.3886564657020637
5,6,True,True,3.572434663772583,2.547688531796682
1,2,True,True,3.6481666564941406,2.576664144903186
9,10,True,True,3.89741587638855,2.6981055016984596
13,14,True,True,4.019623756408691,2.842240409667499
10,11,True,True,4.2468366622924805,2.9964645137586867
